github.com/AlDanial/cloc v 2.06  T=0.34 s (1995.2 files/s, 92485.6 lines/s)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                              blank        comment           code
./backend/arenco-autenticacao/pom.xml                                                                                                                                 7              0            101
./backend/arenco-cronjobs/src/main/java/br/com/arenco/arenco_cronjobs/service/impl/ArencoOracleServiceImpl.java                                                      15              0            100
./frontend/admin/src/pages/configuracoes/AdministradoresPage.vue                                                                                                     12              3            100
./backend/libs/arenco-dtos/src/main/java/br/com/arenco/arenco_dtos/factories/ContratoCompletoDtoFactory.java                                                          2              0             96
./deploy/README.md                                                                                                                                                   39              0             96
./backend/arenco-autenticacao/src/main/java/br/com/arenco/arenco_autenticacao/facades/impl/ResetPasswordFacadeImpl.java                                              10              0             92
./backend/libs/arenco-dtos/src/main/java/br/com/arenco/arenco_dtos/dtos/agreements/ContratoCompletoDto.java                                                           2              0             92
./backend/libs/sync_lib/src/main/java/br/com/arenco/sync_lib/config/SyncLibAutoConfig.java                                                                            7              0             92
./backend/libs/arenco-autenticacao-lib/src/main/java/br/com/arenco/arenco_autenticacao_lib/services/impl/PreSessionOtpServiceImpl.java                               14              2             91
./backend/.idea/hybrisProjectSettings.xml                                                                                                                             0              0             89
./backend/arenco-cronjobs/src/main/java/br/com/arenco/arenco_cronjobs/oracle/entities/ClienteOracle.java                                                             35              0             89
./backend/arenco-autenticacao/src/main/java/br/com/arenco/arenco_autenticacao/controllers/CustomerAuthenticationController.java                                       6              0             88
./backend/arenco-contratos/src/main/java/br/com/arenco/arenco_contratos/controllers/admin/AReceberAdminController.java                                                5              0             88
./backend/arenco-cronjobs/src/main/java/br/com/arenco/arenco_cronjobs/service/impl/ArencoSincronizacaoEnderecosServiceImpl.java                                      12              0             88
./backend/arenco-autenticacao/src/main/java/br/com/arenco/arenco_autenticacao/facades/impl/CustomerAuthenticationFacadeImpl.java                                      8              0             87
./backend/arenco-cronjobs/src/main/java/br/com/arenco/arenco_cronjobs/service/impl/ArencoSincronizacaoContatosServiceImpl.java                                       17              0             87
./frontend/admin/src/pages/clientes/ContactPreferencesPage.vue                                                                                                       11              7             87
./backend/arenco-contratos/src/main/java/br/com/arenco/arenco_contratos/controllers/admin/PaymentSlipSettingController.java                                           8              0             86
./mobile/arenco-app/pubspec.yaml                                                                                                                                     14             43             84
./backend/arenco-contratos/src/main/java/br/com/arenco/arenco_contratos/config/ArencoContratosSecurityConfiguration.java                                              8              0             82
./backend/libs/arenco-autenticacao-lib/src/main/java/br/com/arenco/arenco_autenticacao_lib/services/impl/ArencoSessionServiceImpl.java                                9              0             82
./frontend/clientes/.quasar/dev-spa/client-entry.js                                                                                                                  59             15             82
./frontend/admin/.quasar/dev-spa/client-entry.js                                                                                                                     58             15             81
./backend/arenco-contratos/src/main/java/br/com/arenco/arenco_contratos/controllers/admin/RecebidosAdminController.java                                               4              0             80
./backend/arenco-data-seeder/src/main/java/br/com/arenco/arenco_data_seeder/strategies/impl/SeedUsersStrategyImpl.java                                               14              0             80
./frontend/clientes/.quasar/prod-spa/client-entry.js                                                                                                                 57             15             80
./backend/arenco-contratos/src/main/java/br/com/arenco/arenco_contratos/controllers/admin/ContratosAdminController.java                                               4              0             79
./backend/libs/arenco-autenticacao-lib/src/main/java/br/com/arenco/arenco_autenticacao_lib/filters/ArencoPreSessionCookieAuthenticationFilter.java                    7              0             79
./backend/arenco-autenticacao/src/main/java/br/com/arenco/arenco_autenticacao/services/impl/LoginOtpModelServiceImpl.java                                            11              1             78
./backend/libs/messenger_lib/src/main/java/br/com/arenco/messenger_lib/config/MessengerLibSpringAutoConfig.java                                                      10              0             78
./frontend/admin/src/pages/mensageria/EmailsEnviadosPage.vue                                                                                                         12              7             78
./frontend/clientes/.quasar/prod-spa/client-prefetch.js                                                                                                              21             18             77
./backend/libs/arenco-autenticacao-lib/pom.xml                                                                                                                        6              2             76
./frontend/admin/src/composables/useTriStateMultiSort.ts                                                                                                             12              6             76
./backend/notifications/pom.xml                                                                                                                                       5              0             75
./frontend/admin/src/pages/mensageria/SmsEnviadosPage.vue                                                                                                            12              7             75
./backend/arenco-clientes/src/main/java/br/com/arenco/arenco_clientes/facades/impl/UsersFacadeImpl.java                                                               8              0             74
./backend/libs/arenco-dtos/src/main/java/br/com/arenco/arenco_dtos/handlers/ArencoDtosExceptionHandlers.java                                                         10              0             74
./backend/libs/sync_lib/pom.xml                                                                                                                                       4              0             74
./backend/arenco-contratos/src/main/java/br/com/arenco/arenco_contratos/controllers/admin/BoletosAdminController.java                                                 4              0             72
./backend/arenco-cronjobs/src/main/java/br/com/arenco/arenco_cronjobs/service/impl/ArencoSincronizacaoContratosServiceImpl.java                                      17              0             72
./backend/arenco-data-seeder/pom.xml                                                                                                                                  4              0             72
./backend/libs/arenco-autenticacao-lib/src/main/java/br/com/arenco/arenco_autenticacao_lib/services/impl/ArencoUserDetailsServiceImpl.java                            5              0             71
./backend/libs/arenco-models/src/main/java/br/com/arenco/arenco_models/entities/ReceivedTitleModel.java                                                               5              0             71
./backend/libs/messenger_lib/pom.xml                                                                                                                                  3              0             71
./backend/arenco-clientes/src/main/java/br/com/arenco/arenco_clientes/controllers/CurrentUserController.java                                                          7              0             70
./backend/libs/arenco-autenticacao-lib/src/main/java/br/com/arenco/arenco_autenticacao_lib/services/impl/ArencoUserAuthServiceImpl.java                               9              0             69
./backend/arenco-autenticacao/src/main/java/br/com/arenco/arenco_autenticacao/services/impl/PasswordRecoveryOtpServiceImpl.java                                       9              0             68
./backend/libs/arenco-autenticacao-lib/src/main/java/br/com/arenco/arenco_autenticacao_lib/filters/ArencoSessionCookieAuthenticationFilter.java                       5              0             68
./.github/workflows/install-n-deploy-cronjobs.yml                                                                                                                    21              0             67
./backend/arenco-autenticacao/src/main/java/br/com/arenco/arenco_autenticacao/config/ArencoAutenticacaoSecurityConfiguration.java                                     5              0             67
./backend/libs/arenco-dtos/pom.xml                                                                                                                                    2              0             67
./backend/libs/arenco-models/src/main/java/br/com/arenco/arenco_models/entities/ReceivableTitleModel.java                                                             5              0             67
./frontend/clientes/quasar.config.ts                                                                                                                                 17             15             66
./frontend/admin/quasar.config.ts                                                                                                                                    17             15             65
./backend/arenco-data-seeder/src/main/java/br/com/arenco/arenco_data_seeder/strategies/impl/SeedContactPreferenceStrategyImpl.java                                    8              0             64
